required_skill_match,preferred_skill_match,total_skill_match,matched_required_count,matched_preferred_count,experience_years,project_count,shortlisted
71,28,58.099999999999994,7,1,8,9,1
34,77,46.89999999999999,3,4,6,0,0
91,39,75.39999999999999,9,2,7,4,1
80,40,68.0,8,2,10,2,0
40,85,53.5,4,4,1,3,0
94,10,68.8,9,0,6,1,0
94,22,72.39999999999999,9,1,5,8,1
43,0,30.099999999999998,4,0,3,2,0
22,45,28.9,2,2,6,1,0
41,100,58.7,4,5,3,9,1
72,20,56.4,7,1,1,10,0
21,89,41.4,2,4,9,8,1
49,35,44.8,5,2,6,6,1
57,53,55.8,6,3,7,5,1
21,86,40.5,2,4,1,0,0
83,56,74.89999999999999,8,3,4,4,1
79,0,55.3,8,0,0,10,1
40,62,46.599999999999994,4,3,6,10,1
52,53,52.3,5,3,7,2,0
95,54,82.7,10,3,5,0,1
77,39,65.6,8,2,4,3,1
41,14,32.9,4,1,5,1,0
68,20,53.599999999999994,7,1,1,1,0
78,46,68.39999999999999,8,2,0,2,0
61,72,64.3,6,4,6,7,1
79,52,70.89999999999999,8,3,6,7,0
99,8,71.7,10,0,9,6,1
34,73,45.699999999999996,3,4,10,5,1
81,51,72.0,8,3,9,8,1
81,56,73.5,8,3,1,3,0
66,25,53.699999999999996,7,1,1,0,0
81,40,68.69999999999999,8,2,0,7,1
70,34,59.2,7,2,9,6,1
74,62,70.39999999999999,7,3,7,6,1
83,24,65.3,8,1,7,2,1
22,89,42.099999999999994,2,4,0,3,0
70,74,71.2,7,4,10,9,1
26,37,29.299999999999997,3,2,7,8,1
40,1,28.3,4,0,8,5,0
92,6,66.19999999999999,9,0,3,4,0
58,81,64.89999999999999,6,4,0,2,0
37,90,52.9,4,4,0,8,0
23,33,26.0,2,2,2,4,0
79,90,82.3,8,4,4,4,1
33,16,27.9,3,1,4,3,0
28,42,32.199999999999996,3,2,8,3,0
72,58,67.8,7,3,9,0,1
21,50,29.7,2,2,1,6,0
79,53,71.19999999999999,8,3,1,8,1
90,23,69.89999999999999,9,1,5,2,1
63,24,51.3,6,1,8,1,0
27,70,39.9,3,4,0,2,0
66,51,61.49999999999999,7,3,8,0,1
54,69,58.5,5,3,8,5,1
97,87,93.99999999999999,10,4,8,10,1
100,32,79.6,10,2,4,10,1
55,48,52.9,6,2,8,6,0
69,28,56.699999999999996,7,1,10,10,1
23,62,34.699999999999996,2,3,3,10,0
21,21,21.0,2,1,1,1,0
25,25,25.0,2,1,5,7,0
73,27,59.199999999999996,7,1,3,5,0
23,84,41.3,2,4,5,3,0
73,48,65.5,7,2,2,4,1
82,70,78.4,8,4,5,7,1
37,80,49.9,4,4,1,2,0
63,83,69.0,6,4,1,2,0
53,48,51.49999999999999,5,2,8,10,1
93,19,70.8,9,1,6,3,1
81,85,82.19999999999999,8,4,2,0,0
33,91,50.4,3,5,10,8,1
67,62,65.5,7,3,0,7,1
34,60,41.8,3,3,7,7,1
91,48,78.1,9,2,5,9,1
97,70,88.89999999999999,10,4,6,5,1
81,0,56.699999999999996,8,0,8,6,1
59,95,69.8,6,5,4,5,1
99,12,72.89999999999999,10,1,0,8,0
72,93,78.3,7,5,9,2,1
43,86,55.9,4,4,6,2,1
45,50,46.5,4,2,4,2,0
79,55,71.8,8,3,2,9,1
60,82,66.6,6,4,8,2,1
48,61,51.89999999999999,5,3,0,8,0
34,31,33.099999999999994,3,2,0,3,0
64,29,53.5,6,1,0,6,0
84,28,67.2,8,1,2,8,1
90,48,77.39999999999999,9,2,5,10,1
28,44,32.8,3,2,9,6,1
20,92,41.599999999999994,2,5,10,8,1
